x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-11.8286,-56.8106,44.3156
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.4113,-51.8126,45.9816
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-13.9944,-51.8126,42.0665
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-11.4121,-52.479,47.2311
-9.7461,-53.312,42.483
-9.7461,-53.312,42.483
-9.7461,-53.312,42.483
-9.7461,-53.312,42.483
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
-7.9968,-52.6456,45.1486
