x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.03151225,-0.01988371,0.002144044
-0.03151225,-0.01988371,0.002144044
-0.03151225,-0.01988371,0.002144044
-0.03151225,-0.01988371,0.002144044
-0.03151225,-0.01988371,0.002144044
-0.03151225,-0.01988371,0.002144044
-0.03111908,-0.0185886,0.003788043
-0.03111908,-0.0185886,0.003788043
-0.03111908,-0.0185886,0.003788043
-0.03111908,-0.0185886,0.003788043
-0.03111908,-0.0185886,0.003788043
-0.02689272,-0.01743772,0.003853536
-0.02689272,-0.01743772,0.003853536
-0.02689272,-0.01743772,0.003853536
-0.02685415,-0.01713452,0.003568636
-0.02685415,-0.01713452,0.003568636
-0.02685415,-0.01713452,0.003568636
-0.02685415,-0.01713452,0.003568636
-0.02853896,-0.01764096,0.003102653
-0.02853896,-0.01764096,0.003102653
-0.02853896,-0.01764096,0.003102653
-0.02853896,-0.01764096,0.003102653
-0.02853896,-0.01764096,0.003102653
-0.02667896,-0.01839904,0.003436079
-0.02667896,-0.01839904,0.003436079
-0.02667896,-0.01839904,0.003436079
-0.02667896,-0.01839904,0.003436079
-0.02667896,-0.01839904,0.003436079
-0.02644158,-0.01909216,0.007066928
-0.02644158,-0.01909216,0.007066928
-0.02644158,-0.01909216,0.007066928
-0.02657836,-0.01918274,0.007387657
-0.02657836,-0.01918274,0.007387657
-0.02657836,-0.01918274,0.007387657
-0.02693228,-0.02034806,0.006816997
-0.02693228,-0.02034806,0.006816997
-0.02693228,-0.02034806,0.006816997
-0.02693228,-0.02034806,0.006816997
-0.02672384,-0.02019746,0.005011717
-0.02672384,-0.02019746,0.005011717
-0.02591691,-0.021221,0.005554586
-0.02591691,-0.021221,0.005554586
-0.02591691,-0.021221,0.005554586
-0.02591691,-0.021221,0.005554586
-0.0259497,-0.02242064,0.005402416
-0.0259497,-0.02242064,0.005402416
-0.0259497,-0.02242064,0.005402416
-0.0259497,-0.02242064,0.005402416
-0.0259497,-0.02242064,0.005402416
-0.02756249,-0.02262039,0.005897171
-0.02756249,-0.02262039,0.005897171
-0.02756249,-0.02262039,0.005897171
-0.02758241,-0.02339653,0.007196141
-0.02758241,-0.02339653,0.007196141
