x,y,z
0,0,0
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-9.7461,-54.6448,38.7345
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-12.0785,-55.811,37.485
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-6.9139,-50.2299,38.9011
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-11.662,-54.8114,40.1506
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.5799,-52.0625,39.5675
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-8.413301,-55.0613,38.7345
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-13.5779,-53.9784,36.2355
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-51.3961,39.7341
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-11.662,-55.9776,37.0685
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-9.996,-56.8106,38.9011
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.829,-51.8126,38.4846
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-10.9956,-55.9776,38.318
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-11.662,-59.3929,37.9015
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-3.9151,-56.8106,43.7325
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
-0.2499,-47.2311,48.7305
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
14.2443,-43.8991,52.8955
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
10.1626,-40.0673,50.5631
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
8.163401,-43.0661,52.479
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
9.2463,-45.4818,50.5631
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-2.9988,-50.4798,46.3981
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-14.6608,-56.644,33.32
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-15.9103,-53.5619,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.4101,-55.811,28.7385
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-16.0769,-57.0605,28.0721
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
-13.1614,-58.9764,25.2399
